,target
0,112.15168366025829
1,115.87976760712034
2,-25.87626157524256
3,-47.635839730225904
4,-102.51798161625861
5,-50.289319395344286
6,-81.36835979522407
7,20.937137932603775
8,172.90067195044602
9,170.8840845610229
10,-111.39443612410821
11,-25.59613481133684
12,-8.872080514481265
13,120.36150945828479
14,35.09400746548546
15,41.78966377564592
16,-199.4176945544768
17,17.739840911006745
18,8.536094604351355
19,133.07321032993414
20,61.45777124452263
21,-68.39998714317574
22,-114.50737628446282
23,-12.546908411243056
24,-64.18048540231439
25,7.52041888898281
26,23.78467860426548
27,104.76863050351051
28,19.457189907510994
29,-31.192808551597828
30,107.80088038633754
31,-51.113619665202364
32,215.83283486050607
33,-20.002772195054185
34,-238.03992037475675
35,152.54780550242901
36,-8.264958507503081
37,9.132767357443054
38,-318.7446708031503
39,73.47903221011921
40,-88.08890615867337
41,-214.92225985184368
42,-248.10351286701038
43,132.65718304293677
44,-80.84248999505499
45,101.17564239332347
46,-9.181993911549807
47,14.91509474013764
48,-104.82054763354536
49,-33.08742047935346
50,7.17980668132018
51,-184.25133970983904
52,60.85422476729887
53,-105.23084916569938
54,-112.70614896653396
55,-163.4956685097672
56,59.107065159747044
57,105.97835497960978
58,-79.92267914255189
59,38.71059100255119
60,36.836212948421874
61,-56.62420213191048
62,162.7034820008359
63,38.96675646294517
64,52.656140601786674
65,19.572250823888332
66,78.32374928544141
67,-7.319122625688472
68,-8.260172573617535
69,-3.6335435361602464
70,-27.98253297399528
71,160.5279458025289
72,-46.045038934676455
73,18.020626560130477
74,-72.7258267641277
75,-76.79331515104249
76,33.04325359078493
77,-168.9152392240966
78,-6.570719230959341
79,149.51790537371224
80,-43.38473796568854
81,-127.89444473216359
82,-201.5781596286402
83,33.50786529173136
84,144.00916385078443
85,272.11378266304587
86,-266.61250343577626
87,-96.63833162115353
88,74.0237530218372
89,-96.27816532639818
90,-54.803465700534076
91,122.402010680456
92,-171.59692158209856
93,-123.18985206930323
94,46.150783213356576
95,94.98932651194295
96,-224.5916586815773
97,-128.49120010083408
98,-181.70494792877668
99,-57.31455513584649
100,125.59344771442966
101,-90.09265852534843
102,-7.6675621127985565
103,-5.59637473520117
104,-4.969756176817479
105,77.53696759278931
106,40.39715176925551
107,89.1650731698432
108,-34.536391423807636
109,-91.08124700439492
110,35.632397101701926
111,14.576679307468122
112,114.17640660622806
113,2.710487792247983
114,70.49391798450854
115,28.427721920809557
116,-149.4995680990399
117,2.267562661459671
118,17.45351608521686
119,-27.37364941658148
120,-25.710913567831334
121,-265.5562498778207
122,266.7883425694108
123,154.22621361592914
124,10.444257646199112
125,81.33979037103319
126,-16.67932038812242
127,-160.620462830306
128,109.85521188575994
129,-37.24146936578094
130,-224.928654162879
131,118.16961535783544
132,-34.73198487927877
133,-92.9372125120414
134,168.70877510377562
135,34.2244682604307
136,-23.479801079427954
137,56.53896771755444
138,41.353311896228746
139,-183.10350069102995
140,127.78103532816023
141,-79.09335247986274
142,211.52759423749214
143,133.94923912286498
144,-4.897075280049497
145,-160.7818424540237
146,-19.809765792760675
147,131.45012964441037
148,32.31241497104161
149,53.59722625344876
150,-9.172128100627942
151,-48.91914232364184
152,14.10068816495174
153,-74.56607455333582
154,24.672899966466634
155,140.07462852669815
156,347.9217102106627
157,215.58081194396243
158,23.446108532197997
159,-43.93006767066498
160,-179.67910354369906
161,8.012176956179191
162,299.0105263761883
163,71.85516184563157
164,-27.7043143376247
165,154.15871031611363
166,-163.7148386536546
167,140.09857284978233
168,169.02655056383026
169,-52.806504080233736
170,61.082761571785866
171,94.90181449203088
172,91.95608767008402
173,28.13777416516473
174,172.13840262699705
175,-157.94670595356345
176,-99.83800765084058
177,-176.5506434802963
178,-23.2151137060988
179,-113.30546147321806
180,-18.86282471385688
181,-64.05913178891583
182,-81.03134789031068
183,63.17806303174393
184,-75.07650704115876
185,86.35346857257728
186,-62.47080027976551
187,-115.56305351107272
188,-83.09403988397236
189,185.29399963469555
190,-46.04484514143847
191,218.36624147532402
192,-62.6256966122281
193,-89.53216671555215
194,44.113219002113865
195,-5.441386562032378
196,68.00436950103828
197,-66.01198915842849
198,208.78639540244075
199,-146.473212439615
200,-103.76614006219177
201,-122.45631302324254
202,21.267906678483694
203,50.95561936271028
204,148.07093004884652
205,42.641286246880206
206,89.97693232284928
207,170.10449413645213
208,-280.41962739813704
209,-181.7865778418251
210,-111.22638619392953
211,-88.67611268232392
212,25.628844790946133
213,-56.95863281453538
214,74.11649208017458
215,-25.271371159510704
216,-57.72035759231106
217,-34.50168669114995
218,61.558481284467476
219,88.44959685977614
220,-89.97387747824234
221,-155.2599088107395
222,44.071481576853486
223,238.62238482699985
224,-54.479468269400954
225,10.528532393833604
226,-68.24632569950322
227,7.829469635324745
228,5.873964477624413
229,37.099556891206404
230,114.68512207431684
231,14.04298137125169
232,-113.43289346775941
233,43.12492795701233
234,96.99659947234545
235,-96.08462944801722
236,-181.37079566968538
237,166.98036517281005
238,106.59216849703336
239,57.463941636550196
240,-13.322687143825966
241,-30.57671950895982
242,-52.20457038236485
243,-178.55815199343235
244,-70.65331542300673
245,-33.342261593070475
246,-179.10457636719474
247,-32.25238695369268
248,30.19855303884315
249,-127.76585413022497
250,13.31562298067837
251,-6.215002199238459
252,-264.0833171678829
253,-262.8321431474691
254,-174.15244594566863
255,41.831113777275455
256,128.9712364245412
257,67.46930244492515
258,118.47614806004542
259,90.58827341459563
260,17.257381999469875
261,-317.5730867931892
262,186.5890467976996
263,-136.98071674929395
264,-48.840506288571845
265,-92.27043946355082
266,-94.34070670121574
267,135.43312809730577
268,161.19703642879912
269,-45.3155380036368
270,-149.47467419308475
271,110.56082088556312
272,-23.63993865575328
273,85.66394138194121
274,103.3006888611961
275,20.894444451489072
276,-56.24017362041566
277,-32.60819532202316
278,25.41995559084548
279,72.43813114327118
280,23.849574741651494
281,-135.95997302297593
282,-21.251607644928676
283,-15.532394879247263
284,-133.67426040187294
285,159.29477134873113
286,-14.546855565331846
287,-139.6159588656038
288,205.30511446285436
289,45.06236999703366
290,89.85197838005196
291,27.28919814903138
292,205.69658100075742
293,-45.07891821036634
294,-35.659181397648936
295,-45.66802771188551
296,48.31728618063832
297,-68.78988594818307
298,91.7672189410987
299,-90.3228377486658
300,-101.8060318264841
301,-30.240532235617785
302,-95.60840377747701
303,-27.856032993616797
304,55.89719756667409
305,-38.63903330523938
306,-81.07285781211766
307,-187.23607387130596
308,-172.53719482141923
309,37.40612865939814
310,74.82873682840439
311,301.5350484110915
312,125.67560766624283
313,128.04900313099557
314,47.809399075292234
315,-26.608823956825734
316,180.9553716527397
317,-63.92572817256429
318,125.8649369837204
319,150.99502871342088
320,-38.74330553038986
321,-209.59595470536038
322,-105.81803522917764
323,0.6001510650314188
324,-49.25646204474832
325,-42.6739420299006
326,157.15897793417517
327,131.69854664761152
328,20.35921819027767
329,-94.72572196820778
330,185.91307007898945
331,-71.81644700877254
332,61.14256020787411
333,76.21887334656299
334,96.73174431539236
335,-111.52363381078592
336,111.8948100802364
337,-40.29775768819768
338,85.39258193069784
339,-89.42847721078115
340,-209.90441629879933
341,157.44047082682513
342,-99.30666274753645
343,61.51191159234959
344,123.78655011936613
345,27.258224498666937
346,-183.03111059520464
347,-38.69040511210447
348,-52.394145088963846
349,-123.4663836884403
350,8.199003745463422
351,-96.01135203162889
352,-44.96848560754394
353,-171.24404950220784
354,-226.53541363628213
355,0.6333155422229337
356,-214.6120930610748
357,184.56174488485132
358,-14.22633631563155
359,12.791557303404755
360,29.713383097643426
361,240.2455585754286
362,-33.44056051124662
363,130.94315412414906
364,53.97167040560826
365,6.817425681491635
366,-92.82993963412672
367,-15.189375981917838
368,224.42685751136946
369,-19.9166693525839
370,-146.18579238112648
371,-55.55589316054283
372,-100.51780321449857
373,3.752806621894128
374,-19.25928346148262
375,-67.2606834551439
376,-22.2928639030034
377,-181.31982467586872
378,-130.1453939396783
379,41.927872814134886
380,-43.568311723586135
381,-165.0507133432071
382,85.35350505157109
383,-5.477143120132915
384,130.78534474047234
385,-52.65541698354839
386,-2.338370086190661
387,172.64455599386127
388,168.75068610239987
389,42.29234765131163
390,-32.40855403452035
391,56.04477852892275
392,108.6657601252092
393,-42.00149780801442
394,-75.45766733304883
395,-88.14850962273304
396,-194.76240066919786
397,123.08157289613912
398,62.994782746862946
399,53.28168449996272
